Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,0s,Country
L Klusener ,1996-2004,171,137,50,3576,103*,41.10,3977,89.91,2,19,13,South Africa
SM Pollock ,1996-2008,303,205,72,3519,130,26.45,4059,86.69,1,14,20,South Africa
MA Taylor ,1989-1997,113,110,1,3514,105,32.23,5909,59.46,1,28,4,Australia
DB Vengsarkar ,1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7,India
KJ O'Brien ,2006-2019,142,130,17,3490,142,30.88,3922,88.98,2,18,5,IRELAND
Mohammad Ashraful ,2001-2013,177,169,13,3468,109,22.23,4947,70.10,3,20,14,Bangladesh
SO Tikolo ,1996-2014,135,130,12,3428,111,29.05,4524,75.77,3,24,13,Kenya
HH Dippenaar ,1999-2007,107,95,14,3421,125*,42.23,5047,67.78,4,26,4,South Africa
A Flintoff ,1999-2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9,England
T Taibu ,2001-2012,150,137,21,3393,107*,29.25,5020,67.58,2,22,16,Zimbabwe
JJ Roy ,2015-2019,84,81,2,3381,180,42.79,3148,107.40,9,18,7,England
KC Wessels ,1983-1994,109,105,7,3367,107,34.35,6088,55.30,1,26,0,Australia
Babar Azam ,2015-2019,74,72,10,3359,125*,54.17,3857,87.08,11,15,2,Pakistan
AC Parore ,1992-2002,179,161,32,3314,108,25.68,4867,68.09,1,14,19,New Zealand
Moin Khan ,1990-2004,219,183,41,3266,72*,23.00,4017,81.30,0,12,17,Pakistan
Kamran Akmal ,2002-2017,157,138,14,3236,124,26.09,3855,83.94,5,10,10,Pakistan
AN Cook ,2006-2014,92,92,4,3204,137,36.40,4154,77.13,5,19,7,England
HDRL Thirimanne ,2010-2019,127,106,14,3194,139*,34.71,4419,72.27,4,21,7,Sri Lanka
Umar Akmal ,2009-2019,121,110,17,3194,102*,34.34,3712,86.04,2,20,8,Pakistan
DI Gower ,1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6,England
KR Rutherford ,1985-1995,121,115,9,3143,108,29.65,4888,64.30,2,18,6,New Zealand
BJ Haddin ,2001-2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2,Australia
RJ Shastri ,1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5,India
SM Gavaskar ,1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8,India
DS Lehmann ,1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4,Australia
DA Miller ,2010-2019,126,110,31,3058,139,38.70,3054,100.13,5,12,8,South Africa
GJ Bailey ,2012-2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3,Australia
SD Hope ,2016-2019,72,67,10,3007,170,52.75,4046,74.32,8,15,4,West Indies
V Sibanda ,2003-2016,127,126,4,2994,116,24.54,4716,63.48,2,21,14,Zimbabwe
DJ Bravo ,2004-2014,164,141,24,2968,112*,25.36,3606,82.30,2,10,11,West Indies
AM Rahane ,2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6,India
HH Streak ,1993-2005,189,159,55,2943,79*,28.29,4008,73.42,0,13,6,Zimbabwe
WW Hinds ,1999-2010,119,111,10,2880,127*,28.51,4393,65.55,5,14,8,West Indies
GJ Maxwell ,2012-2019,110,100,11,2877,102,32.32,2332,123.37,1,19,9,Australia
JM Bairstow ,2011-2019,74,68,8,2861,141*,47.68,2749,104.07,9,11,5,England
DM Bravo ,2009-2019,110,105,13,2839,124,30.85,4045,70.18,3,18,8,West Indies
IJL Trott ,2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5,England
AL Logie ,1981-1993,158,133,36,2809,109*,28.95,3801,73.90,1,14,13,West Indies
AH Jones ,1987-1995,87,87,9,2784,93,35.69,4811,57.86,0,25,4,New Zealand
Mohammad Nabi ,2009-2019,124,112,12,2782,116,27.82,3252,85.54,1,15,6,Afganistan
SE Marsh ,2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3,Australia
M Kaif ,2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8,India
SV Carlisle ,1995-2005,111,107,8,2740,121*,27.67,4325,63.35,3,9,11,Zimbabwe
MDKJ Perera ,2013-2019,98,93,5,2739,135,31.12,2945,93.00,5,14,8,Sri Lanka
Mohammad Shahzad ,2009-2019,84,84,3,2727,131*,33.66,3082,88.48,6,14,4,Afganistan
Salman Butt ,2004-2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15,Pakistan
RG Twose ,1995-2001,87,81,11,2717,103,38.81,3603,75.40,1,20,5,New Zealand
GJ Whittall ,1993-2003,147,142,22,2705,83,22.54,4011,67.43,0,11,12,Zimbabwe
RS Bopara ,2007-2015,120,109,21,2695,101*,30.62,3462,77.84,1,14,4,England
BA Stokes ,2011-2019,95,81,15,2682,102*,40.63,2855,93.94,3,20,5,England
Sikandar Raza ,2013-2019,97,93,15,2656,141,34.05,3249,81.74,3,14,1,Zimbabwe
Mudassar Nazar ,1977-1989,122,115,10,2653,95,25.26,5130,51.71,0,16,6,Pakistan
EC Joyce ,2006-2018,78,77,8,2622,160*,38.00,3630,72.23,6,15,5,IRELAND
Ahmed Shehzad ,2009-2017,81,81,1,2605,124,32.56,3614,72.08,6,14,7,Pakistan
NJ O'Brien ,2006-2018,103,101,9,2581,109,28.05,3638,70.94,1,18,3,IRELAND
Zaheer Abbas ,1974-1985,62,60,6,2572,123,47.62,3033,84.80,7,13,2,Pakistan
CR Ervine ,2010-2019,93,90,11,2571,130*,32.54,3406,75.48,3,15,7,Zimbabwe
AC Hudson ,1991-1997,89,88,1,2559,161,29.41,3960,64.62,2,18,6,South Africa
TWM Latham ,2012-2019,95,88,9,2550,137,32.27,3096,82.36,4,15,7,New Zealand
VG Kambli ,1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4,India
Imrul Kayes ,2008-2018,78,78,2,2434,144,32.02,3423,71.10,4,16,2,Bangladesh
JDP Oram ,2001-2012,160,116,15,2434,101*,24.09,2810,86.61,1,13,8,New Zealand
TM Odoyo ,1996-2014,136,119,16,2420,111*,23.49,3438,70.38,1,8,13,Kenya
AD Hales ,2014-2019,70,67,3,2419,171,37.79,2527,95.72,6,14,5,England
RA Smith ,1988-1996,71,70,8,2419,167*,39.01,3473,69.65,4,15,4,England
L Vincent ,2001-2007,102,99,10,2413,172,27.11,3453,69.88,3,11,8,New Zealand
KJ Coetzer ,2008-2019,59,57,2,2409,156,43.80,2795,86.18,4,17,5,SCOT)
KA Pollard ,2007-2019,107,99,7,2398,119,26.06,2547,94.14,3,10,13,West Indies
CJ Chibhabha ,2005-2018,103,103,2,2389,99,23.65,3784,63.13,0,16,7,Zimbabwe
GP Thorpe ,1993-2002,82,77,13,2380,89,37.18,3344,71.17,0,21,3,England
Rahmat Shah ,2013-2019,73,69,2,2359,114,35.20,3366,70.08,4,16,3,Afganistan
Asghar Afghan ,2009-2019,111,105,9,2356,101,24.54,3531,66.72,1,12,7,Afganistan
VVS Laxman ,1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3,India
RR Singh ,1989-2001,136,113,23,2336,100,25.95,3144,74.30,1,9,5,India
N Hussain ,1989-2003,88,87,10,2332,115,30.28,3481,66.99,1,16,6,England
GS Chappell ,1971-1983,74,72,14,2331,138*,40.18,3079,75.70,3,14,7,Australia
Sarfaraz Ahmed ,2007-2019,116,90,22,2302,105,33.85,2622,87.79,2,11,1,Pakistan
SL Campbell ,1994-2001,90,87,0,2283,105,26.24,3853,59.25,2,14,9,West Indies
DL Vettori ,1997-2015,295,187,57,2253,83,17.33,2715,82.98,0,4,23,New Zealand
S Matsikenyeri ,2002-2015,113,110,9,2224,90,22.01,3072,72.39,0,13,8,Zimbabwe
GM Wood ,1978-1989,83,77,11,2219,114*,33.62,3725,59.57,3,11,4,Australia
NLTC Perera ,2009-2019,161,128,16,2210,140,19.73,1979,111.67,1,10,11,Sri Lanka
MJ Greatbatch ,1988-1996,84,83,5,2206,111,28.28,3099,71.18,2,13,7,New Zealand
JC Adams ,1992-2001,127,105,28,2204,82,28.62,3614,60.98,0,14,7,West Indies
Shahriar Nafees ,2005-2011,75,75,5,2201,123*,31.44,3167,69.49,4,13,11,Bangladesh
D Ramdin ,2005-2016,139,110,22,2200,169,25.00,2738,80.35,2,8,4,West Indies
RA Jadeja ,2009-2019,159,106,36,2188,87,31.25,2543,86.04,0,11,6,India
CS MacLeod ,2008-2019,66,64,6,2175,175,37.50,2623,82.92,8,8,8,SCOT)
Habibul Bashar ,1995-2007,111,105,5,2168,78,21.68,3586,60.45,0,14,18,Bangladesh
IT Botham ,1976-1992,116,106,15,2113,79,23.21,2671,79.10,0,9,6,England
MW Gatting ,1977-1993,92,88,17,2095,115*,29.50,2968,70.58,1,9,4,England
NH Fairbrother ,1987-1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2,England
RL Powell ,1999-2005,109,100,16,2085,124,24.82,2157,96.66,1,8,8,West Indies
CL White ,2005-2018,91,77,16,2072,105,33.96,2586,80.12,2,11,4,Australia
GC Wilson ,2007-2019,105,99,12,2072,113,23.81,2880,71.94,1,12,6,IRELAND
CO Obuya ,2001-2014,104,89,9,2044,98*,25.55,2981,68.56,0,11,6,Kenya
Yasir Hameed ,2003-2007,56,56,1,2028,127*,36.87,3029,66.95,3,12,2,Pakistan
WPUJC Vaas ,1994-2008,322,220,72,2025,50*,13.68,2796,72.42,0,1,25,Sri Lanka
KO Otieno ,1996-2009,90,87,1,2016,144,23.44,3561,56.61,2,12,12,Kenya
SV Manjrekar ,1988-1996,74,70,10,1994,105,33.23,3101,64.30,1,15,3,India
MP Vaughan ,2001-2007,86,83,10,1982,90*,27.15,2898,68.39,0,16,9,England
CH Lloyd ,1973-1985,87,69,19,1977,102,39.54,2434,81.22,1,11,1,West Indies
GD Elliott ,2008-2016,83,69,11,1976,115,34.06,2416,81.78,2,11,6,New Zealand
BKG Mendis ,2016-2019,73,71,3,1973,102,29.01,2367,83.35,1,16,10,Sri Lanka
KJ Hughes ,1977-1985,97,88,6,1968,98,24.00,2919,67.42,0,17,12,Australia
A Bagai ,2003-2013,62,60,8,1964,137*,37.76,2995,65.57,2,16,2,Canada
Fakhar Zaman ,2017-2019,46,46,4,1958,210*,46.61,2056,95.23,4,13,5,Pakistan
LMP Simmons ,2006-2015,68,65,3,1958,122,31.58,2680,73.05,2,16,9,West Indies
Aftab Ahmed ,2004-2010,85,85,6,1954,92,24.73,2353,83.04,0,14,8,Bangladesh
PJL Dujon ,1981-1991,169,120,36,1945,82*,23.15,2881,67.51,0,6,8,West Indies
M Amarnath ,1975-1989,85,75,12,1924,102*,30.53,3334,57.70,2,13,2,India
KLT Arthurton ,1988-1999,105,93,20,1904,84,26.08,2822,67.46,0,9,12,West Indies
Imran Nazir ,1999-2009,79,79,2,1895,160,24.61,2339,81.01,2,9,10,Pakistan
RD Berrington ,2008-2019,78,73,6,1882,101*,28.08,2535,74.24,1,13,3,SCOT)
Mohsin Khan ,1977-1986,75,75,5,1877,117*,26.81,3373,55.64,2,8,3,Pakistan
JV Coney ,1979-1987,88,80,19,1874,66*,30.72,2885,64.95,0,8,1,New Zealand
DJG Sammy ,2004-2015,126,105,30,1871,89,24.94,1870,100.05,0,9,4,West Indies
RD Jacobs ,1996-2004,147,112,32,1865,80*,23.31,2662,70.06,0,9,11,West Indies
M Prabhakar ,1984-1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8,India
Azhar Ali ,2011-2018,53,53,3,1845,102,36.90,2478,74.45,3,12,3,Pakistan
OA Shah ,2001-2009,71,66,6,1834,107*,30.56,2331,78.67,1,12,6,England
MW Goodwin ,1998-2000,71,70,3,1818,112*,27.13,2654,68.50,2,8,1,Zimbabwe
Khaled Mashud ,1995-2006,126,110,27,1818,71*,21.90,3315,54.84,0,7,8,Bangladesh
BA Edgar ,1978-1986,64,64,5,1814,102*,30.74,3685,49.22,1,10,3,New Zealand
A Balbirnie ,2010-2019,64,61,4,1813,145*,31.80,2413,75.13,5,8,4,IRELAND
Samiullah Shinwari ,2009-2019,84,74,12,1811,96,29.20,2765,65.49,0,11,1,Afganistan
JO Holder ,2013-2019,112,89,19,1798,99*,25.68,1907,94.28,0,9,9,West Indies
DJ Hussey ,2008-2013,69,61,6,1796,111,32.65,1980,90.70,1,14,4,Australia
MA Atherton ,1990-1998,54,54,3,1791,127,35.11,3054,58.64,2,12,4,England
Mashrafe Mortaza ,2001-2019,217,156,27,1786,51*,13.84,2037,87.67,0,1,15,Bangladesh
MS Wade ,2012-2017,94,80,11,1777,100*,25.75,2164,82.11,1,10,5,Australia
MM Ali ,2014-2019,101,82,13,1766,128,25.59,1697,104.06,3,5,5,England
IA Healy ,1988-1997,168,120,36,1764,56,21.00,2104,83.84,0,4,9,Australia
KD Karthik ,2004-2019,94,79,21,1752,79,30.20,2392,73.24,0,9,6,India
Sir RJ Hadlee ,1973-1990,115,98,17,1751,79,21.61,2319,75.50,0,4,4,New Zealand
Soumya Sarkar ,2014-2019,55,54,3,1728,127*,33.88,1753,98.57,2,11,5,Bangladesh
Imam-ul-Haq ,2017-2019,37,37,5,1723,151,53.84,2141,80.47,7,6,2,Pakistan
Imran Farhat ,2001-2013,58,58,2,1719,107,30.69,2489,69.06,1,13,3,Pakistan
CB Wishart ,1996-2005,90,82,8,1719,172*,23.22,2436,70.56,2,5,8,Zimbabwe
Rashid Latif ,1992-2003,166,117,29,1709,79,19.42,2237,76.39,0,3,8,Pakistan
DA Gunawardene ,1998-2006,61,61,1,1708,132,28.46,2389,71.49,1,12,5,Sri Lanka
AT Rayudu ,2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3,India
ND McKenzie ,2000-2009,64,55,10,1688,131*,37.51,2432,69.40,2,10,2,South Africa
NC Johnson ,1998-2000,48,48,2,1679,132*,36.50,2389,70.28,4,11,2,Zimbabwe
BA Young ,1990-1999,74,73,5,1668,74,24.52,2733,61.03,0,9,5,New Zealand
UDU Chandana ,1994-2007,147,111,17,1627,89,17.30,2229,72.99,0,5,8,Sri Lanka
CK Kapugedera ,2006-2017,102,84,7,1624,95,21.09,2254,72.04,0,8,7,Sri Lanka
Haris Sohail ,2013-2019,41,40,5,1614,130,46.11,1895,85.17,2,13,1,Pakistan
GM Turner ,1973-1983,41,40,6,1598,171*,47.00,2348,68.05,3,9,1,New Zealand
LPC Silva ,1999-2011,75,62,7,1587,107*,28.85,2254,70.40,1,13,6,Sri Lanka
Najibullah Zadran ,2012-2019,67,62,9,1586,104*,29.92,1765,89.85,1,11,3,Afganistan
SC Williams ,1994-1999,57,55,6,1586,105*,32.36,2402,66.02,1,12,6,West Indies
Saleem Elahi ,1995-2004,48,47,4,1579,135,36.72,2214,71.31,4,9,3,Pakistan
RL Dias ,1979-1987,58,55,5,1573,121,31.46,2315,67.94,2,11,3,Sri Lanka
N Dickwella ,2014-2019,52,49,1,1571,116,32.72,1679,93.56,2,9,1,Sri Lanka
DR Smith ,2004-2015,105,89,5,1560,97,18.57,1683,92.69,0,8,14,West Indies
UT Khawaja ,2013-2019,40,39,2,1554,104,42.00,1848,84.09,2,12,2,Australia
